"HolderAddress","Unique Tokens","Quantity","PendingBalanceUpdate"
"0x1adcf07389b1f6605c44a7683c50a5243829a92c","5","-","No"
"0x67cc642f32d724724765dbc40472a3d520b9e02a","5","-","No"
"0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5","5","-","No"
"0xb707357cd23682120459e0bdb385401185de5e3b","5","-","No"
"0x31c683a67f0e3919a86fead9241d94f34679f11f","5","-","No"
"0xa7e5a837382c4b2a484bd2afadc8b5a5f6d74e87","5","-","No"
"0x432dcbda06e8b296ca29705572d7cb6315ed8bed","5","-","No"
"0xc6571c2fb66825f13b7751b1c334810d397618eb","5","-","No"
"0xe874946c5876e5e6a9fbc1e17db759e06e3b3ffe","5","-","No"
"0xb41e31a4ddc1c3ed12ee1ade86f01ff1e3f9fb27","5","-","No"
"0xe8c18788d6e65ee1fefbaa9fc1b996ffc1a080c0","5","-","No"
"0x0ff03e5fbab870a80a8beb54ee43a259c004e8a1","5","-","No"
"0x727ee9a04d26056849e2981054749b69778c5f31","5","-","No"
"0x5f071f2ce06084811be5b2ef2e9d2773f53d32cb","5","-","No"
"0xa2fa6144168751d116336b58c5288feaf8bb12c1","5","-","No"
"0xc474a9a00e56c3bf947c71edd1515dad5706d3d5","5","-","No"
"0xc8d46eb7881975f9ae15216feeba2ff58e55803c","4","-","No"
"0x8d4fcf8170a20ccc91fab546ee57bd01c930e608","4","-","No"
"0x0000ce08fa224696a819877070bf378e8b131acf","4","-","No"
"0xedf7b675a2fe3c27efb263fb4c204a3f0fb17d46","4","-","No"
"0x767a60f295aedd958932088f9cd6a4951d8739b6","4","-","No"
"0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6","4","-","No"
"0xf997558ae6ab4e5b7df35b6686becf512a50202c","4","-","No"
"0x1c05decb151a459e8b045a93f472d1b238204094","4","-","No"
"0xba181deb98afc2202202c9aebf26b18f46d70497","4","-","No"
"0xd2033db9c5370ac76abd80823b5c5adc097e2fbf","4","-","No"
"0x5dca7bad26550b04a2d6911ba64bb7e7bdd67787","4","-","No"
"0x4f942119e6ab0a6e4368e795d1d64291a3ff0da4","4","-","No"
"0xa6d62ece2f050a9b1ef79e003eda0a012504b3e8","4","-","No"
"0x78a18ddecda44f7d298d9b37512ed8a7f6b226c7","4","-","No"
"0x5c7ca6a93a46ae786d99d91ed423a91d6fa13879","4","-","No"
"0xf7b18e107eb36797f4ce36de756630b9c30969ad","4","-","No"
"0x049808d5eaa90a2665b9703d2246dded34f1eb73","4","-","No"
"0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50","4","-","No"
"0xb941f9b7566e7108332a9ec187d222a1cc05e422","4","-","No"
"0x11d67fa925877813b744abc0917900c2b1d6eb81","4","-","No"
"0x4fde6e0af241816a38346ee014482f88311d0451","4","-","No"
"0x85f1dd38ed67dd2134d0c0bb27b6628bf57ee705","4","-","No"
"0x5d47e5d242a8f66a6286b0a2353868875f5d6068","4","-","No"
"0x2ecc650e73d984db98c2d239108d2931bdab7028","4","-","No"
"0xb957dccaa1ccfb1eb78b495b499801d591d8a403","4","-","No"
"0x1395f53b0472827c78964316a7f5595f302e10c9","4","-","No"
"0xd6fd705ee0b31a9300d3e2154bcce777270cbb6f","4","-","No"
