"HolderAddress","Unique Tokens","Quantity","PendingBalanceUpdate"
"0x445130702eb79291b597c98386b2e7b6d7bb26b1","3","4","No"
"0x356b0c093e663eb73970255f911ad5909e7fe4e8","3","3","No"
"0x530f09ea449f3f84b74f42d5ea82aecdb82f9613","3","3","No"
"0x608f0cade420e14b35b6f494867f302e78149d8a","3","3","No"
"0x716e3f2f257c9956b56842a67f14e623e7629053","3","3","No"
"0x945d5bcda8dcd9cd8b221fd23cf4b6c0e7e50bd5","3","3","No"
"0x6a846300b7168106e30929ce1fa42148cbd9f4a9","2","2","No"
"0x6bcfe7307663bb2b0c1c70294c8af1ea01fef0de","2","2","No"
"0x79b1a32ec97537486e75d99850bd56ecfa09d643","2","2","No"
"0x7edea644f225c0d2ff9802ddce09bb5f53f9243f","2","2","No"
"0x9e42997109143decea3a2cf0b1dd8204c69aca86","2","2","No"
"0xdfb27231979a3367579794001c006f6d3875d16f","2","2","No"
"0xf9107317b0ff77ed5b7adea15e50514a3564002b","2","2","No"
"0x05fd601cc84aeed9b6e378aac9d46ed801d38069","2","2","No"
"0xe4518c427b210e950bb1cfb207e04d9af60f919a","2","2","No"
"0x298523faa843ca40e83b7934170ca874a4fa1b04","2","2","No"
"0xcd7f6b72049c3b54416f9f26392cb271e74ca3fd","2","2","No"
"0xe64d330cc8654520815aa3ce90613d89b855e3a0","2","2","No"
"0x6e58309cd851a5b124e3a56768a42d12f3b6d104","2","2","No"
"0xadfbf9eccee2c330d7a045fb5533b978ff5ff2b2","2","2","No"
"0x0f97b7ff167be3dbeda03389320726547463bc84","1","1","No"
"0x1cae141ec4f5becd042d8df35e397b00c26e0e8a","1","1","No"
"0x483d25d45518ef52e4083284faefeba702b6ad35","1","1","No"
"0x672c3b982325be86e221fe5d0eb5391ffa9cc8fc","1","1","No"
"0xca77380d0caa2d2eb484a4c0c92926764ca9587b","1","1","No"
"0xdc826ac58a5fa9f4f35aad8ad6b679fa2f9fd6dd","1","1","No"
"0xe5cc7b86bb776f9ceaad80e6d9e1ceb6ab48bb7c","1","1","No"
"0xecbe3854b26750b301341bad149185e55544aba1","1","1","No"
"0x5b9950c198aa3e2ef0a8d0c1c640b6b13c3ef216","1","1","No"
"0x77e8ab134f6d6f7309e6f565d82456b63723f506","1","1","No"
"0x81b15c11fd0c736399485307faecd13bdd58185d","1","1","No"
"0xac5fcbed890eeeaabe00f1aa5a79e6ab252cc278","1","1","No"
"0x01dfc119d736de4f0bdb8c25fd4b363d728efade","1","1","No"
"0x0a8f4e308b17f836eab6493f42e48ac07d30946d","1","1","No"
"0x268e8ef615670b275418d2787521ad27a4c9c310","1","1","No"
"0x3bf4e50fa2a84d3798e5bfc2e70585a9daf9e6af","1","1","No"
"0x6957d2139d29e7db7913ac21e813f2a561e47ac8","1","1","No"
"0x7e0a6f814a57e1919f60525294d834b7532476a4","1","1","No"
"0xb792e02dad7b7b5a7a9ba84547e73a9160cdd2ce","1","1","No"
"0xbcae9454240181f92d2e5f60103bdf3c2cf0cb42","1","1","No"
"0xfba674dbbbfafed6da9895051e5204de824325b9","1","1","No"
"0x5086c7c157360161679c96c0c37a115fcb583eb9","1","1","No"
"0x88dda000a73cb5ae14ee0268dd11ed00cd282def","1","1","No"
"0x3d0feaf9fa634d7766a0c80ac6f38b486dc73c9c","1","1","No"
"0x5d2a62c53f8449c8a75c46b4a11ec64e35a7d525","1","1","No"
"0xf49402e1f0ac118ab4cd9f62bf1a7c6705cc0fa9","1","1","No"
"0xf77e60088401d82e67b42e1f04eef53308cf4a19","1","1","No"
"0xbd5408beed525d3cb300bbe001008af9bd0be359","1","1","No"
"0x049808d5eaa90a2665b9703d2246dded34f1eb73","1","1","No"
"0x8c80c1fe10912398bf0fe68a25839defcaef588e","1","1","No"
"0x6b579bacffea19b002271d448a62b161f754401a","1","1","No"
"0x0e938f234cff703624a24770a18094cd71e2b37b","1","1","No"
"0xd773e2f5b5ffe1a8296984e53015d803ef989bb0","1","1","No"
"0x9d9827af75601cebf3eff1b93d0bf52d41e075ad","1","1","No"
"0x42b2e881b164e4c283fb7b7e15b35cd256209133","1","1","No"
"0x4df1865fdbdc6cbc57b8445df78c1b0dcd3532d2","1","1","No"
"0x96c41b3d5e2b3f26f46b21022a17d72dbb3fa760","1","1","No"
"0x67f72412a592d066a2e688e62664116deabeab29","1","1","No"
"0x33d3c029fd119ebb90df20c3427a97074637bf7c","1","1","No"
"0xf8a09bf413576a2e8b406dae09732aae29a1c8d4","1","1","No"
"0x644be8a25be30a21e2dffeae4fc43937fbcf3efd","1","1","No"
"0x431fb2b505af18093be76d484c83404322b1935c","1","1","No"
"0x896b2797442e7066f2e46959a0b32398999fcc0d","1","1","No"
"0xa83183117230bf2067b27bf9c2a16387d29cd72c","1","1","No"
"0x4da4a2f69cb2f61a49efb7423b1f093b79c6f1f2","1","1","No"
"0x0a574b135ca7ad0845668f20cae3a1478437ef4a","1","1","No"
"0x2aa40b4f2c62c70b12ca2295f3657632a21d5396","1","1","No"
"0x7d81251c7e6091508967b2defc61dee86548335e","1","1","No"
"0x8c4bb998e72e90bf0d82b949e9f05d90ee4685db","1","1","No"
"0x99c12d799e22acfbf9b627e074f515d30c6d6f6d","1","1","No"
"0x4fa4167b3c94a80416bbc768fb919bf3ace9f8c2","1","1","No"
"0xeee072349a531cbd66ba9fd1a6d55197a1fc022b","1","1","No"
"0x4ad81a2e5e1fdb4e28d2f44b374e2d80aae9fa61","1","1","No"
"0x6a61857928149cb7cd2ad29251902787bcf9c3b0","1","1","No"
"0x046f601cbcbfa162228897ac75c9b61daf5cee5f","1","1","No"
"0x799dbd3d68bd7a85279e48c20318cc5857d6e12b","1","1","No"
"0xa08a327d9fb9f2be150dd7b7c20f077d3a997feb","1","1","No"
"0x1dffae74acf1df1aa4118b993ff73ff84932e6d4","1","1","No"
"0x160a59cdee115d87156d72d2a5fa03ab76d85ee2","1","1","No"
"0x58b61d71a801beffe49ed1a8e01a908be965ca1b","1","1","No"
"0x2ba0cf3a45d78fb39cd2a75516c3338d5f36dd37","1","1","No"
"0x55a1cd90c5fb0dd3abe513f547ed8068d960d3b4","1","1","No"
"0xe5fc9766a03d63b85ca885db5030345000c739a4","1","1","No"
"0x8a007aa8efba8f6342ff2689b887de567865c611","1","1","No"
"0x942fec89e62c34ecfb26694654bec567fbdf68b5","1","1","No"
"0x0f8aca6bb8d86bba87892efab1e19491c97387b7","1","1","No"
"0xe331b5a8f814cee021c2a483122aeeda1d60db55","1","1","No"
"0xa9f078b3b6dd6c04308f19def394b6d5a1b8b732","1","1","No"
"0x5eb2af0a5c8c61b727d6c617f60da4361cd85732","1","1","No"
"0x260ead7837df1e2618dfcaed24c920287ec49e7a","1","1","No"
"0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9","1","1","No"
"0x9610cc87fd506d3d964993da5bb8f260e934b871","1","1","No"
"0x3ad33c43b4008b1be3674700294a7fe9d80328f8","1","1","No"
"0xad192a9eaee1e342cabb1cd32f01de3b77d8598f","1","1","No"
"0x0ce15b159dde11810d63e6e9817535396f173bfc","1","1","No"
"0x9f5141e8715c6691e75188bda726df54c14721e4","1","1","No"
"0xec6ba66a6d19fc4b6e123fbdba59e310d6d767e0","1","1","No"
"0xdfeddc98ae6edcb5f63178a8589f41b6477f6c42","1","1","No"
"0x7839423f763a4214cb812ae16123dfbee8dce4ff","1","1","No"
"0x94d8bb9d573b66f7d212830cab060f91a322db64","1","1","No"
"0x167dd1517b4ca5520aee35ca680b7080bbc1f75e","1","1","No"
"0x018483563379483a7c222425d4cfd7dfb21c1890","1","1","No"
"0x1bfda4d1bd8a28cab70f53d30ba7fa2a10d2c221","1","1","No"
"0xde055950ccaaf115c8d76b33e6503ee403875ccb","1","1","No"
"0xe65117382eed1d022f68cb1583dc6f95c62b8ad0","1","1","No"
"0xbcdde113e0be48145d119f6ec87a78582cd1398c","1","1","No"
"0xcc959de52730519bd55d99ff3303d7992393504f","1","1","No"
"0x6fd64b2555fa6d1bf8564f728da7eae8ad1397b1","1","1","No"
"0x8f862ce117a3feebc1dc364e02db35ae125d7f40","1","1","No"
"0x2de944255b054466e125da744a213895a3b3cb93","1","1","No"
