"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0x2edf3ee97878927b647751da351e6755aa6106491079710e25dc0035872ad4d1","61638304","1676600808","2023-02-17 02:26:48","0x0000000000000000000000000000000000000000","0x072d06505950fd8a55f8cbc2d3796afff1d84c11","1","-"
"0xca30365524b3c670dee7f6ca226e0b10e0f067d76e588f5d283f0b0e474c6a08","61638731","1676600925","2023-02-17 02:28:45","0x072d06505950fd8a55f8cbc2d3796afff1d84c11","0x54de374ce5e07c2f5a469f9baba60d40ea142357","1","Bridge Token"
"0xca30365524b3c670dee7f6ca226e0b10e0f067d76e588f5d283f0b0e474c6a08","61638731","1676600925","2023-02-17 02:28:45","0x54de374ce5e07c2f5a469f9baba60d40ea142357","0x0000000000000000000000000000000000000000","1","Bridge Token"
"0xbf51bb7140ee17b84b1aa06eaa3f1ec98953fa1f0997f39b5bf45b4b50199144","61864208","1676659666","2023-02-17 18:47:46","0x0000000000000000000000000000000000000000","0x072d06505950fd8a55f8cbc2d3796afff1d84c11","10","-"
"0xbc850981a998de28508bdf009e905641ab79bb6e58ca652e5ae8f263783c1b1b","61898543","1676669193","2023-02-17 21:26:33","0x0000000000000000000000000000000000000000","0xfde3b96ad8d5f8116c4e646909afbed4a6104004","11.13","-"
"0x7ba456d4bff22a30f48022590f532b59a0d780cd52196637232fba1509653309","62162955","1676740009","2023-02-18 17:06:49","0x0000000000000000000000000000000000000000","0xf4905bd17982966bb4bb5faac8cd117be8a59ef6","100","-"
"0xa82ffa1db830fe0f6962cbb3e4266c4319e463e545934feabc3844aafd109a2f","62842440","1676917182","2023-02-20 18:19:42","0x0000000000000000000000000000000000000000","0xec1625f0be12b31d8edfdd165f7750ee4630a475","0.25","-"
"0x524b9527af43a56fd00e15d7b5001a9aa67d1ee67c6110ce24c4a38752ba3e21","64172960","1677258426","2023-02-24 17:07:06","0xf4905bd17982966bb4bb5faac8cd117be8a59ef6","0x2a92968ed18b08bfc512be17aa0a7b2ae80c3dc4","1","Transfer"
"0x607dfc2edaa351509c5932aea86d20a9b848c1c3d3660dd8d04dc2fda6abe8de","64174466","1677258816","2023-02-24 17:13:36","0x2a92968ed18b08bfc512be17aa0a7b2ae80c3dc4","0xc28350047d006ed387b0f210d4ea3218137a8a38","0.100075","Build"
"0x607dfc2edaa351509c5932aea86d20a9b848c1c3d3660dd8d04dc2fda6abe8de","64174466","1677258816","2023-02-24 17:13:36","0xc28350047d006ed387b0f210d4ea3218137a8a38","0x5985fd48b48fdde2c5c1bc0b4f591c83d961184b","0.000075","Build"
